Respondent,Gender,Age,T1 B= ToM*,T2 Y = ToM,TOM 1,TOM 2,ToM Both,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count,,,,Respondent,Gender,Age,T1 B= ToM*,T2 Y = ToM,TOM 1,TOM 2,ToM Both,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974702,Male,6,Y,R,NO,No,no,ToM2 Eyes,163835,775,22,1,1,1,2,163988,277,8,1,1,2,2,,,,974710,Male,6,Y,Y,NO,ToM,no,ToM2 Eyes,164023,437,12,1,0,1,0,3600,0,0,0,0,0,0
974708,Male,10,Y,R,NO,No,no,ToM2 Eyes,164055,573,16,1,0,1,0,164129,391,11,0,1,0,1,,,,974711,Female,6,Y,Y,NO,ToM,no,ToM2 Eyes,163798,705,20,1,0,1,0,164068,392,11,0,1,0,1
974709,Male,8,Y,R,NO,No,no,ToM2 Eyes,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,,,,974719,Male,8,Y,Y,NO,ToM,no,ToM2 Eyes,163942,847,24,1,1,1,2,163942,704,20,1,1,2,3
974718,Male,11,*,R,NO,No,no,ToM2 Eyes,163974,610,17,1,0,1,0,164015,404,11,0,1,0,2,,,,974724,Male,10,Y,Y,NO,ToM,no,ToM2 Eyes,163912,514,14,1,1,1,2,163912,392,11,1,1,2,2
974721,Male,8,Y,R,NO,No,no,ToM2 Eyes,163857,1189,33,1,1,1,2,163857,490,14,1,1,4,4,,,,974731,Male,8,Y,Y,NO,ToM,no,ToM2 Eyes,164047,1668,46,1,1,1,2,164167,1435,40,0,1,0,1
974726,Male,12,Y,R,NO,No,no,ToM2 Eyes,163594,872,24,1,0,1,0,163675,460,13,1,1,3,3,,,,974738,Female,8,Y,Y,NO,ToM,no,ToM2 Eyes,163618,496,14,1,0,1,0,163618,381,11,0,1,0,2
974727,Female,8,Y,R,NO,No,no,ToM2 Eyes,163585,570,16,1,1,1,2,163701,301,8,1,1,2,2,,,,974742,Female,6,R,Y,NO,ToM,no,ToM2 Eyes,164221,397,11,1,0,1,0,164221,355,10,0,1,0,1
974732,Male,7,Y,R,NO,No,no,ToM2 Eyes,163989,569,16,1,0,1,0,163989,495,14,0,1,0,2,,,,974746,Male,9,Y,Y,NO,ToM,no,ToM2 Eyes,164073,685,19,1,0,1,0,164120,512,14,1,1,2,3
974737,Female,7,Y,R,NO,No,no,ToM2 Eyes,164008,474,13,1,0,1,0,3600,0,0,0,0,0,0,,,,974749,Female,11,Y,Y,NO,ToM,no,ToM2 Eyes,163894,598,17,1,0,1,0,164090,265,7,0,1,0,1
974740,Male,10,B,R,ToM,No,no,ToM2 Eyes,163573,3312,92,1,1,1,2,163859,1722,48,1,1,2,4,,,,974754,Male,6,Y,Y,NO,ToM,no,ToM2 Eyes,164334,245,7,1,0,1,0,164334,209,6,0,1,0,1
974743,Female,8,Y,R,NO,No,no,ToM2 Eyes,164189,280,8,1,0,1,0,3600,0,0,0,0,0,0,,,,974762,Female,7,Y,Y,NO,ToM,no,ToM2 Eyes,163931,815,23,1,0,1,0,164130,551,15,1,1,2,3
974744,Female,6,Y,B,NO,No,no,ToM2 Eyes,164450,215,6,1,0,1,0,164484,107,3,0,1,0,1,,,,974768,Male,6,Y,Y,NO,ToM,no,ToM2 Eyes,0,164,5,1,0,0,0,3600,0,0,0,0,0,0
974745,Male,9,Y,R,NO,No,no,ToM2 Eyes,164112,735,20,1,1,1,2,164112,567,16,1,1,2,2,,,,974778,Male,10,Y,Y,NO,ToM,no,ToM2 Eyes,163598,398,11,1,1,1,2,164105,113,3,0,1,0,1
974751,Male,10,R,R,NO,No,no,ToM2 Eyes,163979,606,17,1,0,1,0,164026,459,13,0,1,0,2,,,,974779,Female,7,Y,Y,NO,ToM,no,ToM2 Eyes,164114,448,12,1,0,1,0,164114,304,8,0,1,0,2
974758,Male,6,Y,R,NO,No,no,ToM2 Eyes,163986,701,19,1,1,1,2,3600,0,0,0,0,0,0,,,,974788,Male,9,Y,Y,NO,ToM,no,ToM2 Eyes,163929,627,17,1,1,1,2,163963,516,14,0,1,0,1
974760,Female,11,Y,R,NO,No,no,ToM2 Eyes,164114,214,6,1,0,1,0,164114,130,4,0,1,0,1,,,,974793,Female,8,Y,Y,NO,ToM,no,ToM2 Eyes,164200,399,11,1,0,1,0,164361,118,3,0,1,0,1
974763,Male,6,Y,R,NO,No,no,ToM2 Eyes,164117,450,12,1,0,1,0,164154,242,7,0,1,0,2,,,,974706,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163978,448,12,1,0,1,0,3600,0,0,0,0,0,0
974764,Male,8,Y,R,NO,No,no,ToM2 Eyes,163950,767,21,1,1,1,2,163950,670,19,1,1,2,3,,,,974707,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,163930,637,18,1,0,1,0,163930,527,15,0,1,0,2
974769,Female,8,Y,R,NO,No,no,ToM2 Eyes,163875,685,19,1,0,1,0,163949,439,12,1,1,2,2,,,,974712,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163935,598,17,1,0,1,0,164040,317,9,0,1,0,2
974774,Male,8,Y,R,NO,No,no,ToM2 Eyes,163849,708,20,1,0,1,0,163849,574,16,0,1,0,3,,,,974716,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163878,839,23,1,0,1,0,163913,832,23,1,1,2,4
974777,Male,7,Y,B,NO,No,no,ToM2 Eyes,164422,262,7,1,0,1,0,164514,127,4,0,1,0,1,,,,974720,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,163802,756,21,1,0,1,0,163876,305,8,1,1,2,2
974787,Female,5,Y,R,NO,No,no,ToM2 Eyes,164067,409,11,1,0,1,0,164067,328,9,0,1,0,1,,,,974722,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163568,2232,62,1,1,1,3,164003,1517,42,1,1,3,5
974790,Male,7,Y,R,NO,No,no,ToM2 Eyes,163565,976,27,1,0,1,0,163968,496,14,0,1,0,2,,,,974723,Male,6,B,Y,ToM,ToM,Yes,ToM2 Eyes,164311,226,6,1,0,1,0,164386,112,3,0,1,0,1
974792,Male,5,Y,R,NO,No,no,ToM2 Eyes,164229,505,14,1,0,1,0,164322,251,7,0,1,0,1,,,,974725,Female,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163899,687,19,1,0,1,0,163899,614,17,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974728,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,164228,1039,29,1,1,1,2,166370,671,19,0,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974729,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,166846,503,14,1,0,1,0,166846,330,9,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974730,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,164110,238,7,1,1,1,2,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974733,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164247,451,13,1,0,1,0,164247,456,13,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974734,Female,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163931,2669,74,1,1,1,2,163931,1791,50,1,1,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,974735,Female,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,164137,814,23,1,1,1,2,164176,445,12,1,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974736,Female,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163583,1209,34,1,1,1,2,166819,192,5,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974739,Female,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,0,99,3,1,0,0,0,167069,427,12,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974741,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164067,182,5,1,0,1,0,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974747,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163598,1928,54,1,1,1,4,164392,1060,29,1,1,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,974748,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163957,586,16,1,0,1,0,164249,271,8,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974750,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164380,350,10,1,0,1,0,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974752,Male,12,B,Y,ToM,ToM,Yes,ToM2 Eyes,164003,497,14,1,0,1,0,164039,283,8,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974753,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163992,526,15,1,0,1,0,163913,527,15,0,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974755,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164130,387,11,1,0,1,0,164285,117,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974756,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163589,748,21,1,0,1,0,163633,231,6,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974757,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163924,2273,63,1,1,1,2,164885,795,22,1,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974759,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163861,845,23,1,0,1,0,164103,459,13,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974761,Male,11,B,Y,ToM,ToM,Yes,ToM2 Eyes,163991,457,13,1,0,1,0,164211,147,4,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974765,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,164123,477,13,1,0,1,0,164161,400,11,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974766,Male,6,B,Y,ToM,ToM,Yes,ToM2 Eyes,163579,888,25,1,1,1,3,164393,105,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974767,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,164085,1126,31,1,1,1,2,164119,520,14,1,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974770,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163963,966,27,1,1,1,2,166157,169,5,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974771,Male,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163975,755,21,1,0,1,0,164152,274,8,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974772,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,0,0,0,0,0,0,0,3600,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,974773,Female,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163593,821,23,1,1,1,2,163803,439,12,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974775,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,163876,1688,47,1,1,1,2,164251,648,18,0,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974776,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,164347,249,7,1,0,1,0,164432,123,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974780,Female,9,B,Y,ToM,ToM,Yes,ToM2 Eyes,163893,633,18,1,0,1,0,163928,373,10,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974781,Female,6,B,Y,ToM,ToM,Yes,ToM2 Eyes,163889,412,11,1,0,1,0,164006,123,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974782,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164327,430,12,1,0,1,0,164367,237,7,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974783,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,0,197,5,1,0,0,0,164423,323,9,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974784,Female,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163961,571,16,1,0,1,0,164353,107,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974785,Male,10,B,Y,ToM,ToM,Yes,ToM2 Eyes,164248,421,12,1,0,1,0,164282,317,9,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974786,Female,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163900,1183,33,1,0,1,0,164223,395,11,1,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,974789,Female,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,164357,674,19,1,1,1,2,165582,115,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,974791,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,163950,701,19,1,0,1,0,163950,503,14,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,974794,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,164150,335,9,1,0,1,0,164150,305,8,0,1,0,2