ID,Age,A score ,Ab Score,B Score,Total Score,Discrepancies A,Discrepancies Ab,Discrepancies B,Percentile,Grade,First 5 incorrect
974701,10,12,11,12,35,0,-1,1,95,I,NO
974702,6,11,11,9,31,0,1,-1,95-100,I,NO
974705,6,7,8,6,21,-2,1,1,75,II,NO
974706,9,9,6,4,19,1,0,-1,10-25,IV,NO
974707,7,10,5,6,21,1,-2,1,50-75,III+,NO
974708,10,11,11,7,29,0,1,-1,50,III,NO
974709,8,11,10,5,26,1,1,-2,50-75,III+,NO
974710,6,8,4,5,17,0,-1,1,50-75,III+,NO
974711,6,10,6,3,19,2,0,-2,50-75,III+,NO
974712,8,11,10,10,31,0,0,0,90,II+,NO
974713,7,8,6,4,18,0,0,0,25-50,III-,NO
974714,7,10,6,4,20,2,-1,-1,50,III,NO
974715,8,9,9,5,23,0,1,-1,25-50,III-,YES(1)
974716,11,12,12,12,36,0,0,0,95-100,I,NO
974717,11,11,12,10,33,0,1,-1,50-75,III+,NO
974718,11,9,11,7,27,1,-1,0,25-50,III-,NO
974719,8,6,9,4,19,-2,3,-1,25,IV,NO
974720,7,10,8,6,24,0,0,0,50-75,III+,NO
974721,8,8,9,9,26,-2,0,2,50-75,III+,NO
974722,11,10,12,12,34,-2,1,1,75,II,NO
974723,6,10,10,9,29,-1,0,1,95-100,I,NO
974724,10,11,10,10,31,0,0,0,50-75,III+,NO
974725,10,10,10,9,29,-1,0,1,50,III,NO
974726,12,10,11,10,31,-1,1,0,50,III,NO
974727,9,10,8,4,22,1,0,-1,25,IV,NO
974728,9,11,11,12,34,-1,0,1,90-95,II+,NO
974729,7,9,7,7,23,0,-1,1,50-75,III+,NO
974730,11,11,12,12,35,-1,0,1,95,I,NO
974731,9,10,9,10,29,-1,-1,2,50-75,III+,NO
974732,8,7,6,9,22,-2,-2,4,25-50,III-,NO
974733,7,9,10,5,24,-1,2,-1,50-75,III+,NO
974734,10,12,11,8,31,1,1,-2,50-75,III+,NO
974735,11,10,11,10,31,-1,1,0,50,III,NO
974736,9,10,10,11,31,-1,0,1,75,II,NO
974737,6,8,6,4,18,0,0,0,50-75,III+,NO
974738,8,9,10,8,27,-1,0,1,50-75,III+,NO
974739,11,11,11,11,33,0,0,0,50-75,III+,NO
974740,10,12,12,11,35,0,0,0,95,I,NO
974741,7,7,8,8,23,-2,0,2,50-75,III+,NO
974742,6,6,6,6,18,-2,0,2,50-75,III+,NO
974743,8,9,9,10,28,-1,-1,2,50-75,III+,NO
974744,7,8,8,6,22,-1,0,1,50-75,III+,NO
974746,9,9,11,9,29,-2,1,1,50-75,III+,NO
974747,9,9,10,10,29,-2,0,2,50-75,III+,NO
974748,9,9,9,9,27,-1,-1,2,50,III,NO
974749,10,12,11,11,34,0,0,0,90,II+,NO
974750,7,9,4,6,19,1,-2,1,25-50,III-,NO
974751,10,10,10,5,25,0,1,-1,25-50,III-,NO
974752,12,12,12,11,35,0,0,0,95,I,NO
974753,10,11,12,12,35,-1,0,1,95,I,NO
974755,7,10,11,11,32,-1,0,1,95-100,I,NO
974756,10,12,10,11,33,1,-1,0,75-90,II,NO
974757,10,11,12,10,33,0,1,-1,75-90,II,NO
974758,6,7,8,6,21,-2,1,1,75,II,NO
974759,9,10,9,6,25,0,0,0,25-50,III-,NO
974760,11,10,11,9,30,-1,1,0,25-50,III-,NO
974761,11,11,10,10,31,0,0,0,50,III,NO
974762,7,10,8,7,25,0,1,-1,75,II,NO
974763,6,9,6,2,17,1,1,-2,50-75,III+,NO
974764,8,7,3,3,13,0,0,0,5-10,IV-,NO
974765,8,9,9,6,24,-1,1,0,50,III,NO
974766,6,8,6,5,19,0,0,0,50-75,III+,NO
974767,10,10,9,5,24,0,1,-1,25,IV,NO
974768,6,9,9,7,25,-1,0,1,90,II+,NO
974769,8,8,9,10,27,-2,-1,3,50-75,III+,NO
974770,8,11,12,10,33,0,1,-1,95,I,NO
974771,9,11,12,11,34,-1,1,0,90-95,II,NO
974772,8,10,12,12,34,-2,1,1,95-100,I,NO
974773,10,10,11,10,31,-1,1,0,50-75,III+,NO
974774,8,9,9,6,24,-1,1,0,50,III,NO
974775,10,12,12,11,35,0,0,0,95,I,NO
974776,8,9,12,9,30,-2,2,0,75-90,II,NO
974777,7,8,8,4,20,0,1,-1,50,III,NO
974778,10,12,12,12,36,0,0,0,95-100,I,NO
974779,7,10,8,11,29,-1,-2,3,90,II+,NO
974780,9,10,11,10,31,-1,1,0,75,II,NO
974781,6,9,11,7,27,-1,1,0,90-95,II+,NO
974782,7,10,8,7,25,0,-1,1,75,II,NO
974783,7,11,8,3,22,2,0,-2,50-75,III+,NO
974784,8,11,10,10,31,0,0,0,90,II+,NO
974785,10,12,11,12,35,0,-1,1,95,I,NO
974786,8,9,11,9,29,-2,1,1,75,II,NO
974787,5,9,4,3,16,1,0,-1,50-75,III+,NO
974788,9,9,11,8,28,-1,1,0,50-75,III+,NO
974789,7,10,8,9,27,0,-2,2,75-90,II,NO
974790,7,12,11,12,35,0,-1,1,95-100,I,NO
974791,7,9,5,3,17,1,0,-1,25-50,III-,NO
974792,5,9,7,4,20,1,0,-1,75-90,II,NO
974793,8,6,5,2,13,-1,2,-1,5-10,IV-,NO
974794,8,10,11,10,31,-1,1,0,90,II+,NO